Instrument_Program,Is_Drum,Start_Time,End_Time,Pitch,Velocity
0,False,0.0,1.5254,63,70
0,False,0.0053,1.5254,67,70
0,False,0.0106,1.5254,70,66
0,False,1.5254,3.0403,63,70
0,False,1.5307,3.0456,67,70
0,False,1.536,3.0508,70,66
0,False,3.0508,4.5763,63,66
0,False,3.0561,4.5763,67,73
0,False,3.0614,4.5763,70,66
0,False,4.5869,5.5932,70,66
0,False,4.5763,6.0911,63,66
0,False,4.5816,6.0964,67,73
0,False,5.5932,6.1017,70,64
0,False,6.1017,7.6271,63,69
0,False,6.107,7.6271,67,65
0,False,6.1123,7.6271,72,65
0,False,7.6271,9.142,63,69
0,False,7.6324,9.1473,67,65
0,False,7.6377,9.1526,72,65
0,False,9.1526,10.678,63,66
0,False,9.1578,10.678,67,69
0,False,9.1631,10.678,72,64
0,False,10.678,12.1928,63,66
0,False,10.6833,12.1981,67,69
0,False,10.6886,12.2034,72,64
0,False,12.2034,13.7182,70,70
0,False,12.2034,13.7288,65,65
0,False,12.2087,13.7288,68,63
0,False,12.214,13.7288,72,70
0,False,13.7288,15.2437,65,65
0,False,13.7288,15.2437,70,70
0,False,13.7341,15.249,68,63
0,False,13.7394,15.2542,72,70
0,False,15.2542,16.7691,65,71
0,False,15.2542,16.7691,70,70
0,False,15.2595,16.7744,67,68
0,False,15.2648,16.7797,72,67
0,False,16.7797,18.2945,65,66
0,False,16.7797,18.2945,70,65
0,False,16.785,18.2998,68,66
0,False,16.7903,18.3051,72,65
0,False,18.3051,19.8305,67,68
0,False,18.3104,19.8305,70,73
0,False,18.3157,19.8305,74,71
0,False,19.8305,21.3454,67,68
0,False,19.8358,21.3507,70,73
0,False,19.8411,21.3559,74,71
0,False,21.3559,22.8814,67,73
0,False,21.3612,22.8814,71,66
0,False,21.3665,22.8814,74,73
0,False,22.8814,24.3962,67,73
0,False,22.8867,24.4015,71,66
0,False,22.892,24.4068,74,73
0,False,24.4068,25.9322,63,70
0,False,24.4121,25.9322,67,70
0,False,24.4174,25.9322,70,66
0,False,25.9322,27.4471,63,70
0,False,25.9375,27.4524,67,70
0,False,25.9428,27.4576,70,66
0,False,27.4576,28.9831,63,66
